,50 B off,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
1105,0,2,77,4,2,0,1,21,1,0,0,1,22,1,1,0,1,42,2,1,0,1,22,1,1,0,2,54,3,2
1110,0,2,75,5,2,0,1,20,1,0,0,1,22,1,1,0,1,41,3,1,0,1,21,1,1,0,2,52,3,2
1115,0,2,74,5,2,0,1,20,1,0,0,1,21,1,1,0,1,41,3,1,0,1,21,1,1,0,2,51,3,2
1120,0,2,73,4,1,0,1,20,1,0,0,1,21,1,0,0,1,40,2,1,0,1,20,1,0,0,1,51,3,1
1125,0,2,70,4,2,0,1,19,1,0,0,1,20,1,1,0,1,39,2,1,0,1,20,1,1,0,1,49,3,1
1130,0,2,66,4,3,0,1,18,1,1,0,1,19,1,1,0,1,36,2,1,0,1,19,1,1,0,2,46,3,2
1135,0,2,65,4,2,0,1,17,1,0,0,1,19,1,1,0,1,36,2,1,0,1,18,1,1,0,2,45,3,1
1140,0,2,59,4,2,0,0,16,1,0,0,0,17,1,1,0,1,33,2,1,0,0,17,1,1,0,1,41,3,2
1145,0,2,62,4,2,0,1,17,1,0,0,1,18,1,1,0,1,34,2,1,0,1,17,1,1,0,1,43,3,2
1150,0,2,61,3,2,0,0,16,1,0,0,0,18,1,1,0,1,34,2,1,0,0,17,1,1,0,1,43,2,1
1155,0,2,61,4,2,0,1,16,1,0,0,1,18,1,1,0,1,34,2,1,0,1,17,1,1,0,1,43,3,1
1160,0,2,55,3,4,0,1,15,1,1,0,1,16,1,1,0,1,31,2,2,0,1,16,1,1,0,1,39,2,2
1165,0,2,55,3,2,0,1,15,1,0,0,1,16,1,1,0,1,31,2,1,0,1,16,1,1,0,2,39,2,1
1170,0,2,51,3,3,0,1,14,1,1,0,1,15,1,1,0,1,28,1,1,0,1,14,1,1,0,1,36,2,2
1175,0,1,52,3,2,0,0,14,1,0,0,0,15,1,1,0,1,29,1,1,0,0,15,1,1,0,1,36,2,2
1180,0,2,51,4,1,0,1,14,1,0,0,1,15,1,0,0,1,28,2,1,0,1,14,1,0,0,1,36,3,1
1185,0,2,47,3,2,0,1,13,1,0,0,1,14,1,1,0,1,26,1,1,0,1,13,1,1,0,1,33,2,1
1190,0,2,45,3,2,0,0,12,1,0,0,0,13,1,1,0,1,25,2,1,0,0,13,1,1,0,1,31,2,1
1195,0,2,43,3,2,0,0,11,1,0,0,0,12,1,1,0,1,24,2,1,0,0,12,1,1,0,1,30,2,1
1200,0,1,41,2,2,0,0,11,1,0,0,0,12,1,1,0,1,23,1,1,0,0,12,1,1,0,1,29,2,2
1205,0,1,41,3,2,0,0,11,1,0,0,0,12,1,1,0,1,22,1,1,0,0,11,1,1,0,1,28,2,2
1210,0,2,42,2,2,0,1,11,1,0,0,1,12,1,1,0,1,23,1,1,0,1,12,1,1,0,1,29,2,1
1215,0,2,39,2,2,0,0,11,1,0,0,0,12,1,1,0,1,22,1,1,0,0,11,1,1,0,1,28,2,1
1220,0,2,41,2,1,0,1,11,1,0,0,1,12,1,0,0,1,22,1,0,0,1,11,1,0,0,1,28,2,0
1225,0,2,39,2,2,0,1,11,1,0,0,1,12,1,1,0,1,22,1,1,0,1,11,1,1,0,1,28,2,2
1230,0,2,38,3,2,0,0,10,1,0,0,0,11,1,1,0,1,21,1,1,0,0,11,1,1,0,1,27,2,1
1235,0,1,36,3,2,0,0,10,1,0,0,0,11,1,1,0,1,20,1,1,0,0,10,1,1,0,1,25,2,2
1240,0,2,36,2,0,0,0,10,1,0,0,0,11,1,0,0,1,20,1,0,0,0,10,1,0,0,1,25,2,0
1245,0,1,35,2,1,0,0,9,1,0,0,0,10,1,0,0,1,20,1,0,0,0,10,1,0,0,1,25,2,0
1250,0,1,36,2,2,0,0,10,0,0,0,0,11,0,1,0,1,20,1,1,0,0,10,0,1,0,1,25,1,1
1255,0,2,35,2,1,0,0,9,1,0,0,0,10,1,0,0,1,19,1,1,0,0,10,1,0,0,1,24,1,1
1260,0,2,33,2,2,0,0,9,1,0,0,0,10,1,1,0,1,18,1,1,0,0,9,1,1,0,1,23,1,1
1265,0,1,35,2,1,0,0,9,1,0,0,0,10,1,0,0,1,19,1,1,0,0,10,1,0,0,1,24,2,1
1270,0,1,34,2,0,0,0,9,0,0,0,0,10,0,0,0,0,19,1,0,0,0,10,0,0,0,1,24,1,0
1275,0,1,35,2,1,0,0,9,1,0,0,0,10,1,0,0,1,19,1,0,0,0,10,1,0,0,1,24,2,0
1280,0,1,33,2,1,0,0,9,0,0,0,0,10,0,0,0,1,18,1,0,0,0,9,0,0,0,1,23,1,0
1285,0,2,33,2,1,0,0,9,0,0,0,0,10,0,0,0,1,18,1,0,0,0,9,0,0,0,1,23,1,0
1290,0,1,31,2,1,0,0,8,0,0,0,0,9,0,0,0,0,17,1,1,0,0,9,0,0,0,1,22,1,1
1295,0,1,31,2,1,0,0,8,1,0,0,0,9,1,0,0,1,17,1,1,0,0,9,1,0,0,1,22,1,1
1300,0,1,31,1,1,0,0,8,0,0,0,0,9,0,0,0,0,17,1,1,0,0,9,0,0,0,1,22,1,1
1305,0,1,30,2,1,0,0,8,0,0,0,0,9,0,0,0,0,17,1,1,0,0,9,0,0,0,1,21,1,1
1310,0,1,31,2,1,0,0,8,0,0,0,0,9,0,0,0,0,17,1,0,0,0,9,0,0,0,1,22,1,0
1315,0,1,29,2,1,0,0,8,1,0,0,0,8,1,0,0,0,16,1,1,0,0,8,1,0,0,1,20,1,1
1320,0,1,30,2,1,0,0,8,1,0,0,0,9,1,0,0,0,17,1,0,0,0,8,1,0,0,1,21,1,0
1325,0,1,30,2,0,0,0,8,1,0,0,0,9,1,0,0,0,17,1,0,0,0,8,1,0,0,1,21,1,0
1330,0,1,29,2,1,0,0,8,1,0,0,0,9,1,0,0,0,16,1,0,0,0,8,1,0,0,1,20,1,0
1335,0,1,30,2,0,0,0,8,0,0,0,0,9,0,0,0,1,17,1,0,0,0,8,0,0,0,1,21,1,0
1340,0,1,29,2,1,0,0,8,0,0,0,0,8,0,0,0,0,16,1,1,0,0,8,0,0,0,1,20,1,1
1345,0,1,27,1,1,0,0,7,0,0,0,0,8,0,0,0,0,15,1,0,0,0,8,0,0,0,1,19,1,0
1350,0,1,25,1,1,0,0,7,0,0,0,0,7,0,0,0,0,14,1,0,0,0,7,0,0,0,1,18,1,0
1355,0,1,25,1,0,0,0,7,0,0,0,0,7,0,0,0,1,14,1,0,0,0,7,0,0,0,1,17,1,0
1360,0,1,23,1,0,0,0,6,0,0,0,0,7,0,0,0,0,13,0,0,0,0,7,0,0,0,1,16,1,0
1365,0,1,21,1,0,0,0,6,0,0,0,0,6,0,0,0,0,12,0,0,0,0,6,0,0,0,1,15,1,0
1370,0,1,22,1,1,0,0,6,0,0,0,0,6,0,0,0,0,12,1,0,0,0,6,0,0,0,1,16,1,0
1375,0,1,22,0,1,0,0,6,0,0,0,0,6,0,0,0,0,12,0,0,0,0,6,0,0,0,1,15,0,0
1380,0,0,20,1,1,0,0,5,0,0,0,0,6,0,0,0,0,11,0,0,0,0,6,0,0,0,0,14,1,0
1385,0,1,20,0,0,0,0,5,0,0,0,0,6,0,0,0,0,11,0,0,0,0,6,0,0,0,1,14,0,0
1390,0,1,19,0,0,0,0,5,0,0,0,0,6,0,0,0,0,11,0,0,0,0,5,0,0,0,1,13,0,0
1395,0,1,18,1,1,0,0,5,0,0,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,1,13,1,0
1400,0,1,18,1,1,0,0,5,0,0,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,1,12,1,0
1405,0,0,15,1,1,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,4,0,0,0,0,10,1,0
1410,0,1,14,0,1,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,4,0,0,0,1,10,0,0
1415,0,1,13,0,1,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,4,0,0,0,1,9,0,0
1420,0,0,12,1,1,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,1,0
1425,0,1,13,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,4,0,0,0,1,9,0,0
1430,0,0,11,0,1,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0
1435,0,0,10,0,1,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0
